Locality,Shannon-Weaver entropy
Ciresu,0.11333444897054591
Dudesti,0.14016516920844369
Frecatei,0.042732686380876794
Galbenu,0.3494122925914943
Gemenele,0.0
Gradistea,0.4942198475777221
Gropeni,0.17022646020410515
Oras Ianca,0.20984699453614203
Oras Insuratei,0.31574057718048676
Jirlau,0.2648023212607873
Marasu,0.031031289942578484
Maxineni,0.15365924576671097
Mircea Voda,0.0393064000765653
Movila Miresii,0.3317183153883969
Racovita,0.026543157925331864
Ramnicelu,0.5249179795057046
Romanu,0.03815806770944938
Rosiori,0.07492880731781656
Salcia Tudor,0.0
Scortaru Nou,0.0
Silistea,0.0
Stancuta,0.013257007122597562
Surdila-Gaiseanca,0.16032872589902852
Sutesti,0.8706471847417949
Tichilesti,0.2256386876584492
Traian,0.2388802702674347
Tudor Vladimirescu,0.15308623545469527
Tufesti,0.0
Ulmu,0.17862289809822007
Unirea,0.39052594904023985
Vadeni,0.04182355670321486
Victoria,0.12607237405764907
Visani,0.598289019556713
Viziru,0.7029651699581347
Zavoaia,0.2333150216655219
Cazasu,0.0747904991771631
Municipiul Buzau,0.30922450215724556
Municipiul Ramnicu Sarat,0.44556700808364536
Amaru,0.1014811311180881
Balta Alba,0.08146202691506
Balaceanu,0.16866093149667025
Beceni,0.008353860576685412
Berca,0.05291869145447126
Bisoca,0.0
Blajani,0.0
Boldu,0.3678864006980916
Bozioru,0.04060836689093154
Bradeanu,0.2021232313372228
Braesti,0.0
Breaza,0.1832724994817877
Buda,0.6011994955449368
Calvini,0.9814496246005779
C.a. Rosetti,0.015499800920773948
Canesti,0.0
Catina,0.41945343464049784
Cernatesti,0.019639553223029113
Chiliile,0.0
Chiojdu,0.0
Cilibia,0.313558200644183
Cislau,0.2180491403277604
Cochirleanca,0.023020510595542505
Colti,0.0
Costesti,0.38572834198998973
Cozieni,0.05096130397741967
Galbinasi,0.19651847209740192
Gheraseni,0.1274791340810079
Ghergheasa,0.14473484283091972
Glodeanu Sarat,0.34163320357903165
Glodeanu-Silistea,0.0975313836969368
Grebanu,0.4314930610650358
Gura Teghii,0.0
Largu,0.0
Lopatari,0.0
Luciu,0.3531813127200676
Magura,0.5911594194192342
Maracineni,0.032838051520772765
Margaritesti,0.0
Merei,0.24838882573274584
Mihailesti,0.8534677575142071
Manzalesti,0.0
Movila Banului,0.40255722889601914
Murgesti,0.0
Naeni,0.04179248928940348
Oras Nehoiu,0.014772809983442527
Odaile,0.0
Padina,0.12339167774830226
Pardosi,0.0
Panatau,0.0
Oras Patarlagele,0.07600693995250546
Pietroasele,0.2690710321991443
Parscov,0.13660322922240759
Podgoria,0.12102446829538416
Oras Pogoanele,0.20444440345467646
Posta Calnau,0.11184976928751796
Puiesti,0.318484185546581
Racoviteni,0.04560647594182623
Ramnicelu,0.9841330219793533
Robeasca,0.0
Rusetu,0.20194751432831862
Sageata,0.013925211811376554
Sahateni,0.021849765921453365
Sapoca,0.022434090930665757
Sarulesti,0.0
Scortoasa,0.2504491558221035
Scutelnici,0.25443631069938044
Siriu,0.0
Smeeni,0.11285177783908255
Stalpu,0.38085891632651114
Tisau,0.0
Topliceni,0.20235802689411636
Tintesti,0.28085753989792483
Ulmeni,0.30085440080348086
Vadu Pasii,0.09852231457501572
Valea Ramnicului,0.020149174454816076
Valea Salciei,0.0
Vernesti,0.4449226326937006
Vintila Voda,0.0
Viperesti,0.5328095226866656
Valcelele,0.33062064297560556
Zarnesti,0.4282558290054476
Ziduri,0.22967269025968962
Unguriu,0.014024920011399667
Florica,0.0946220435508833
Municipiul Resita,0.5880104838660493
Oras Anina,0.7327317416912887
Oras Baile Herculane,0.28992533749389293
Oras Bocsa,0.541529665881803
Ocna De Fier,0.21250098957748115
Municipiul Caransebes,0.5075227486505429
Oras Moldova Noua,0.9168720839176391
Oras Oravita,0.4072859830264323
Oras Otelu Rosu,0.38064282557673695
Armenis,0.10576293440638698
Bania,0.11402412570959262
Bautar,0.07024264898026958
Berliste,0.669510750881363
Berzasca,1.5171661272346135
Berzovia,0.7436140332840385
Bolvasnita,0.0
Bozovici,0.37418259504317114
Brebu,0.04197695565927103
Brebu Nou,1.1084088295435786
Buchin,0.05090945167147312
Bucosnita,0.0
Carasova,1.1685453348243824
Carbunari,0.0
Constantin Daicoviciu,0.5884905979049376
Ciclova Romana,0.3468934869474982
Ciuchici,0.5102605878743733
Ciudanovita,0.22066016843718156
Copacele,0.9853147058621745
Cornea,0.0
Cornereva,0.0
Dalboset,0.05029117234655046
Doclin,0.8093945114092069
Dognecea,0.30768260783245077
Domasnea,0.16485359974596353
Ezeris,0.18384478726787673
Farliug,0.5037184766034223
Forotic,0.32432445419217504
Garnic,0.7892127787395937
Glimboca,0.02368401753604066
Goruia,0.2404091854660451
Gradinari,0.5030424195046213
Iablanita,0.09797656547316408
Lapusnicel,0.4864867319523378
Lapusnicu Mare,0.05574451936762807
Luncavita,0.130433898182698
Lupac,0.5499436716505012
Marga,0.20235123014814493
Maureni,0.23039125878694774
Mehadia,0.042796550540444095
Mehadica,0.3110097551471365
Naidas,0.6330801853938698
Obreja,0.15003765357338195
Paltinis,0.9560743913853529
Coronini,0.6885038616337883
Pojejena,1.136730832331261
Prigor,0.097484807999766
Ramna,0.07342307963503836
Racasdia,0.817994015085549
Eftimie Murgu,0.01990266620573229
Rusca Montana,0.2372656689922043
Sacu,0.9367211622781072
Sasca Montana,0.32247225282881825
Sichevita,0.10496244784420358
Slatina-Timis,0.21060141686754288
Socol,1.4919572233683092
Sopotu Nou,0.39390371533698243
Teregova,0.08348809081080673
Ticvaniu Mare,0.9916695041579567
Tarnova,0.019293278800736422
Toplet,0.30007358520659155
Turnu Ruieni,0.013726556712206838
Valiug,0.4694688151906825
Varadia,0.9798905742441872
Vermes,0.12160716558794743
Vrani,0.679169713949848
Zavoi,0.14356711482459852
Zorlentu Mare,0.06379684937230369
