Ani,NumeJudet,0
2009,Neamt,61889.893654116364
2009,Olt,23826.423484782164
2009,Prahova,134452.31515773648
2009,Salaj,32067.223134127074
2009,Satu Mare,106968.58619876334
2009,Sibiu,208393.31265629438
2009,Suceava,100929.98327421771
2009,Teleorman,17142.19460804263
2009,Timis,435627.2532529012
2009,Tulcea,124998.09445166079
2009,Valcea,165294.1406955543
2009,Vaslui,30011.93074648592
2009,Vrancea,42794.75157062432
2010,Alba,32161.404014559695
2010,Arad,201501.91309516542
2010,Arges,101750.56596453527
2010,Bacau,69818.78666277014
2010,Bihor,191583.86082367293
2010,Bistrita-Nasaud,99473.22221882407
2010,Botosani,56707.8816683529
2010,Braila,344851.398534355
2010,Brasov,612419.4832219479
2010,Buzau,41885.95385698178
2010,Calarasi,29228.151280122842
2010,Caras-Severin,50440.61054437399
2010,Cluj,339173.7742141443
2010,Constanta,1935367.9281711874
2010,Covasna,71825.01680044115
2010,Dambovita,53461.846180120214
2010,Dolj,104220.63558738053
2010,Galati,150002.0
2010,Giurgiu,110806.13325550366
2010,Gorj,75893.26248128018
2010,Harghita,36996.53309257523
2010,Hunedoara,37001.59998881279
2010,Ialomita,35179.945215465275
2010,Iasi,405952.1961837534
2010,Ilfov,32109.557376168475
2010,Maramures,95502.80578884673
2010,Mehedinti,123779.95588049565
2010,Municipiul Bucuresti,3699184.0
2010,Mures,128849.17435006624
2010,Neamt,53542.28796542053
2010,Olt,19561.35678309843
2010,Prahova,145466.01499934058
2010,Salaj,39494.20848286856
2010,Satu Mare,103188.15437749174
2010,Sibiu,273078.2262307645
2010,Suceava,92993.83776191219
2010,Teleorman,12932.506300343237
2010,Timis,451486.55393031373
2010,Tulcea,116439.19440735657
2010,Valcea,155605.2539966209
2010,Vaslui,33617.56696538234
2010,Vrancea,24663.204278928464
2011,Alba,43309.16725476911
2011,Arad,233698.00713060691
2011,Arges,99449.89880826829
2011,Bacau,68065.8497929734
2011,Bihor,214595.87805220432
2011,Bistrita-Nasaud,79576.89361142556
2011,Botosani,77214.0013170577
2011,Braila,423290.53516856494
2011,Brasov,744129.9134212693
2011,Buzau,39860.76881373528
2011,Calarasi,34132.84291914956
2011,Caras-Severin,51388.5988066287
2011,Cluj,408688.9332952563
2011,Constanta,1964714.6165855126
2011,Covasna,90901.28027979309
2011,Dambovita,65388.622245495724
2011,Dolj,151138.05556863025
2011,Galati,163438.92001736438
2011,Giurgiu,118608.56867078051
2011,Gorj,90817.94970106076
2011,Harghita,36643.198637286805
2011,Hunedoara,32597.83641747482
2011,Ialomita,38359.11209241035
2011,Iasi,409959.5176823103
2011,Ilfov,28665.33501665413
2011,Maramures,83124.76198668765
2011,Mehedinti,119737.47452795385
2011,Municipiul Bucuresti,4028302.0
2011,Mures,146725.75029579655
2011,Neamt,45525.61975417823
2011,Olt,54091.542946658905
2011,Prahova,173271.40031906878
2011,Salaj,43713.212221093425
2011,Satu Mare,107169.90463293144
2011,Sibiu,355096.0364264576
2011,Suceava,104809.16015921542
2011,Teleorman,12126.227234452062
2011,Timis,525004.1109069717
2011,Tulcea,140039.78428643962
2011,Valcea,144314.5415903859
2011,Vaslui,40265.757593370574
2011,Vrancea,33330.51371599964
2012,Alba,50611.455838801674
2012,Arad,227933.08965530025
2012,Arges,103616.67978015219
2012,Bacau,81449.06535913877
